sequence_id,ec_number,pdb_id,chain_id,pdb_chain,prediction_file,rmsd,aligned_atoms,query_ca_atoms,template_ca_atoms,sequence_coverage_query,sequence_coverage_template,avg_sequence_coverage,tm_score_estimate,gdt_ts_estimate,similarity_class,overlap_confidence_score,structural_correlation,nucleotide_found,view1_overlap,view2_with_atp,view3_atp_4a,pse_file,active_site_residues,query_active_residues,template_active_residues,hydrogen_bonds,atp_atoms,pdb_file,query_pdb,template_pdb,alignment_cycles
A1JPQ1,7.6.2.8,121p,A,121pA,A1JPQ1_7.6.2.8.pdb,0.571,80,253,166,31.6,48.2,39.9,1.0,95.00,Very Low,57.7,0.7517,False,A1JPQ1_7.6.2.8_vs_121p_A_view1_overlap.png,A1JPQ1_7.6.2.8_vs_121p_A_view2_with_atp.png,,,,,,,,A1JPQ1_7.6.2.8_vs_121p_A_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/A1JPQ1_7.6.2.8.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/121p.pdb,3
A0R9G2,3.6.1.15,7d8i,A,7d8iA,A0R9G2_3.6.1.15.pdb,0.337,995,176,176,565.3,565.3,565.3,1.0,95.00,Very High,283.4,0.8450,False,A0R9G2_3.6.1.15_vs_7d8i_A_view1_overlap.png,A0R9G2_3.6.1.15_vs_7d8i_A_view2_with_atp.png,,,,,,,,A0R9G2_3.6.1.15_vs_7d8i_A_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/A0R9G2_3.6.1.15.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/7d8i.pdb,5
A0QQ70,7.3.2.1,121p,A,121pA,A0QQ70_7.3.2.1.pdb,0.628,70,263,166,26.6,42.2,34.4,1.0,95.00,Very Low,54.1,0.7306,False,A0QQ70_7.3.2.1_vs_121p_A_view1_overlap.png,A0QQ70_7.3.2.1_vs_121p_A_view2_with_atp.png,,,,,,,,A0QQ70_7.3.2.1_vs_121p_A_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/A0QQ70_7.3.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/121p.pdb,3
A0A7H0DN36,2.7.7.19,3erc,C,3ercC,A0A7H0DN36_2.7.7.19.pdb,0.884,2945,479,447,614.8,658.8,636.8,1.0,95.00,Very High,307.7,0.6427,False,A0A7H0DN36_2.7.7.19_vs_3erc_C_view1_overlap.png,A0A7H0DN36_2.7.7.19_vs_3erc_C_view2_with_atp.png,,,,,,,,A0A7H0DN36_2.7.7.19_vs_3erc_C_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/A0A7H0DN36_2.7.7.19.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/3erc.pdb,5
B0B7Q0,2.7.1.40,6ksh,D,6kshD,B0B7Q0_2.7.1.40.pdb,1.078,1955,485,491,403.1,398.2,400.6,1.0,83.17,High,211.6,0.5835,True,B0B7Q0_2.7.1.40_vs_6ksh_D_view1_overlap.png,B0B7Q0_2.7.1.40_vs_6ksh_D_view2_with_atp.png,B0B7Q0_2.7.1.40_vs_6ksh_D_view3_atp_4a_residues.png,,4,0,4,False,31,B0B7Q0_2.7.1.40_vs_6ksh_D_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/B0B7Q0_2.7.1.40.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/6ksh.pdb,5
P32143,2.7.1.184,2jg1,C,2jg1C,P32143_2.7.1.184.pdb,4.996,847,298,318,284.2,266.4,275.3,0.6,33.78,Low,130.1,0.0822,False,P32143_2.7.1.184_vs_2jg1_C_view1_overlap.png,P32143_2.7.1.184_vs_2jg1_C_view2_with_atp.png,,,,,,,,P32143_2.7.1.184_vs_2jg1_C_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/P32143_2.7.1.184.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/2jg1.pdb,5
O22287,2.7.7.13,6b5k,A,6b5kA,O22287_2.7.7.13.pdb,2.885,1073,361,281,297.2,381.9,339.5,0.9,56.92,Medium,172.7,0.2363,False,O22287_2.7.7.13_vs_6b5k_A_view1_overlap.png,O22287_2.7.7.13_vs_6b5k_A_view2_with_atp.png,,,,,,,,O22287_2.7.7.13_vs_6b5k_A_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/O22287_2.7.7.13.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/6b5k.pdb,5
Q9ZFV4,2.5.1.154,6d5k,C,6d5kC,Q9ZFV4_2.5.1.154.pdb,15.369,504,267,179,188.8,281.6,235.2,0.1,2.50,Very Low,114.1,0.0005,True,Q9ZFV4_2.5.1.154_vs_6d5k_C_view1_overlap.png,Q9ZFV4_2.5.1.154_vs_6d5k_C_view2_with_atp.png,Q9ZFV4_2.5.1.154_vs_6d5k_C_view3_atp_4a_residues.png,,21,10,11,False,31,Q9ZFV4_2.5.1.154_vs_6d5k_C_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/Q9ZFV4_2.5.1.154.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/6d5k.pdb,5
A0KNT0,6.1.1.17,1j09,A,1j09A,A0KNT0_6.1.1.17.pdb,2.506,2423,471,469,514.4,516.6,515.5,0.9,59.96,Medium,246.2,0.2857,True,A0KNT0_6.1.1.17_vs_1j09_A_view1_overlap.png,A0KNT0_6.1.1.17_vs_1j09_A_view2_with_atp.png,A0KNT0_6.1.1.17_vs_1j09_A_view3_atp_4a_residues.png,,111,68,43,False,31,A0KNT0_6.1.1.17_vs_1j09_A_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/A0KNT0_6.1.1.17.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/1j09.pdb,5
O57486,2.7.7.31,6p1p,A,6p1pA,O57486_2.7.7.31.pdb,1.216,1963,510,349,384.9,562.5,473.7,1.0,82.13,High,239.7,0.5445,False,O57486_2.7.7.31_vs_6p1p_A_view1_overlap.png,O57486_2.7.7.31_vs_6p1p_A_view2_with_atp.png,,,,,,,,O57486_2.7.7.31_vs_6p1p_A_aligned.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/yes_pdb_result/O57486_2.7.7.31.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/pdb_files/6p1p.pdb,5
