Sequence_ID,EC_Number,PDB_ID,Chain_ID,PDB_Chain,Query_PDB,Template_PDB,RMSD,Aligned_Atoms,Nucleotide_Found,PNG_File,PDB_File
A0L0K9,2.5.1.6,6vd0,A,6vd0A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0L0K9_2.5.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6vd0_A.pdb,0.598,2064,False,A0L0K9_2.5.1.6_vs_6vd0_A_visualization.png,A0L0K9_2.5.1.6_vs_6vd0_A_aligned.pdb
A0AJB9,2.5.1.6,6vd0,A,6vd0A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AJB9_2.5.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6vd0_A.pdb,0.632,2059,False,A0AJB9_2.5.1.6_vs_6vd0_A_visualization.png,A0AJB9_2.5.1.6_vs_6vd0_A_aligned.pdb
A0KBF2,2.5.1.6,6vd0,A,6vd0A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KBF2_2.5.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6vd0_A.pdb,0.600,2070,False,A0KBF2_2.5.1.6_vs_6vd0_A_visualization.png,A0KBF2_2.5.1.6_vs_6vd0_A_aligned.pdb
A0LCX5,2.5.1.6,6vd0,A,6vd0A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0LCX5_2.5.1.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_6vd0_A.pdb,0.546,2038,False,A0LCX5_2.5.1.6_vs_6vd0_A_visualization.png,A0LCX5_2.5.1.6_vs_6vd0_A_aligned.pdb
Q0P887,7.3.2.6,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q0P887_7.3.2.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,16.285,356,False,Q0P887_7.3.2.6_vs_121p_A_visualization.png,Q0P887_7.3.2.6_vs_121p_A_aligned.pdb
O30144,7.3.2.6,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O30144_7.3.2.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.011,729,False,O30144_7.3.2.6_vs_121p_A_visualization.png,O30144_7.3.2.6_vs_121p_A_aligned.pdb
Q58762,7.3.2.6,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q58762_7.3.2.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.092,735,False,Q58762_7.3.2.6_vs_121p_A_visualization.png,Q58762_7.3.2.6_vs_121p_A_aligned.pdb
O57896,7.3.2.6,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O57896_7.3.2.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,17.067,740,False,O57896_7.3.2.6_vs_121p_A_visualization.png,O57896_7.3.2.6_vs_121p_A_aligned.pdb
Q5JEB0,7.3.2.6,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q5JEB0_7.3.2.6.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.302,654,False,Q5JEB0_7.3.2.6_vs_121p_A_visualization.png,Q5JEB0_7.3.2.6_vs_121p_A_aligned.pdb
A0RJJ6,2.7.1.11,3f5m,A,3f5mA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0RJJ6_2.7.1.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3f5m_A.pdb,1.625,1378,True,A0RJJ6_2.7.1.11_vs_3f5m_A_visualization.png,A0RJJ6_2.7.1.11_vs_3f5m_A_aligned.pdb
A0AJ20,2.7.1.11,3f5m,A,3f5mA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AJ20_2.7.1.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3f5m_A.pdb,1.423,1255,True,A0AJ20_2.7.1.11_vs_3f5m_A_visualization.png,A0AJ20_2.7.1.11_vs_3f5m_A_aligned.pdb
